Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSRNOG00000019007,Rpl14,0.020306763799708204,5.60987716122785e-05,0.000929788473346723,23778,4.233099080223258,3879
ENSRNOG00000011971,C1s,0.020305574552188555,5.3367567957929296e-05,0.000893920941714008,322,0.04755465156429433,279
ENSRNOG00000023389,Ephx4,0.020295608689806215,1.105511798060732e-05,0.00020700166321389356,13,0.0007222916526140652,13
ENSRNOG00000052620,Rack1,0.020291048754749155,5.7149193035677115e-05,0.00094323097447994,9851,1.7279283202902471,3211
ENSRNOG00000047374,Gnas,0.020287909687132843,5.731464853564461e-05,0.000944972270103379,5782,0.9593587161305999,2543
ENSRNOG00000008215,Trim47,0.02026046314509065,5.163235883531847e-05,0.0008685477480920915,178,0.022769436769814605,164
ENSRNOG00000027392,Ccdc187,0.020239284127370152,4.4329330911363485e-05,0.0007570085740248226,86,0.010319318854451903,69
ENSRNOG00000042729,Efhc1,0.020204635234772127,3.577561976841892e-05,0.0006224010141167981,62,0.007163445900180445,55
ENSRNOG00000002947,Dpt,0.0201961715596962,6.161891169198519e-05,0.0010117055063427818,2694,0.4517825359036877,1613
ENSRNOG00000011683,Fes,0.020196021777011842,5.6312807460434655e-05,0.000932355536965726,233,0.038611478926844814,223
ENSRNOG00000017953,Gfod2,0.02018201476295373,5.180728263431966e-05,0.0008705611821771285,112,0.01779109777292394,108
ENSRNOG00000012748,Vamp8,0.020180586248768038,6.2652884315062e-05,0.001024413654122414,8639,1.5590022903475065,3119
ENSRNOG00000046261,Acp5,0.020164348196438423,6.144154580001171e-05,0.0010098453022938318,614,0.09630119388695689,475
ENSRNOG00000011107,Pcsk1,0.020152882425729438,2.6086365674471423e-05,0.00046355501213192626,24,0.0032166001279655358,21
ENSRNOG00000013743,Sec61a1,0.020136667205961693,6.434220206719132e-05,0.0010509448590498131,1358,0.21746411333245538,1014
ENSRNOG00000021004,Rasip1,0.020112625430892733,6.566867726198744e-05,0.001070392648400668,1416,0.2414595874045978,1049
ENSRNOG00000015036,Ccn2,0.020109880269333944,6.248993071866771e-05,0.0010228102678999382,279,0.04581742205893088,254
ENSRNOG00000008411,Sec23b,0.02009248182590505,6.490756977695078e-05,0.0010590818994040353,477,0.07291193960635672,412
ENSRNOG00000020636,Spint2,0.0200673409045361,6.85803539499652e-05,0.001115545447842468,3652,0.596598643112105,1941
ENSRNOG00000053015,Ccdc189,0.02005726210819248,6.06757313659223e-05,0.000999342610020551,192,0.026972090502106784,164
ENSRNOG00000015904,Wfdc1,0.020041761648276493,7.027001127601906e-05,0.0011371621331957007,5446,0.9402661927237488,2471
ENSRNOG00000049162,Prr15l,0.020039686044933384,7.002458369265163e-05,0.0011343550751938079,2012,0.30125564842510827,1281
ENSRNOG00000063418,ENSRNOG00000063418,0.02003685445530259,7.039738014835706e-05,0.001138054877844517,15352,2.7894721206532433,3693
ENSRNOG00000018795,Rpl18a,0.01999855809797599,7.234359807828383e-05,0.0011647393186005207,26744,4.886521799063341,3964
ENSRNOG00000034242,Vcp,0.0199768579912823,7.393818759360293e-05,0.001187985436136972,2832,0.45219650617393964,1690
ENSRNOG00000007408,Ebf4,0.01995391052729123,1.8091914497642136e-05,0.00032664920539729133,10,0.001200720337246718,10
ENSRNOG00000012410,S100a1,0.019939786928249936,7.474960716691292e-05,0.0011997997028155617,786,0.12448193957254369,623
ENSRNOG00000067705,Klf2,0.019933279245300504,7.650033536976686e-05,0.001225404762294985,2158,0.39254888192903514,1435
ENSRNOG00000030386,Cldn18,0.01991591304932425,7.77002214975564e-05,0.0012421002953798012,2848,0.5004138811808689,1672
ENSRNOG00000011521,Filip1,0.019910431673245542,4.196259548150394e-05,0.00071971102282858,30,0.006195351030310832,29
ENSRNOG00000020726,Sipa1,0.019909901558207696,7.696699278314512e-05,0.0012316281626882572,931,0.1544801153810007,731
